year,day,hour,mean.rh,wind.m.s
2019,144,11.5,80.885815,1.1512570166666667
2019,145,11.5,71.67876375,1.7676802291666667
2019,146,11.5,63.584932083333335,1.5248137875
2019,147,11.5,76.83069916666666,1.4008832625
2019,148,11.5,93.12042291666667,0.8174698333333333
2019,149,11.5,68.77772875,2.3392580041666666
2019,150,11.5,76.22632416666667,2.1055894708333334
2019,151,11.5,83.16318458333333,1.2698275041666667
2019,152,11.5,85.50618875,1.3388770875
2019,153,11.5,76.49547666666666,0.7630714625
2019,154,11.5,76.83853166666667,1.24538625
2019,155,11.5,73.432605,1.5705092999999999
2019,156,11.5,91.96693166666667,1.0595399566666668
2019,157,11.5,78.04992291666667,1.7240913958333333
2019,158,11.5,68.67070416666667,1.3249299458333332
2019,159,11.5,69.16374958333333,1.782694125
2019,160,11.5,78.11997666666666,1.5409563333333334
2019,161,12,72.73582304347826,0.7933715565217392
2019,162,11.5,78.14178416666667,1.6349882208333333
2019,163,11.5,95.96206458333333,0.4768565375
2019,164,11.5,90.20256291666666,0.8678630708333334
2019,165,11.5,94.84280291666667,0.53475023125
2019,166,11.5,97.86420958333333,0.3484748704166667
2019,167,11.5,77.24857541666667,1.7665318958333334
2019,168,11.5,68.51801083333334,1.787854
2019,169,11.5,82.86013416666667,0.8015133583333334
2019,170,11.5,83.40422166666667,0.7217117
2019,171,11.5,84.37073083333333,1.4033261083333333
2019,172,11.5,77.47131333333333,2.1075921541666665
2019,173,11.5,78.40418166666666,0.7368747583333334
2019,174,11.5,80.88639166666667,1.3175197125
2019,175,11.5,88.38100291666666,0.72749835
2019,176,11.5,85.4735775,0.5890981666666667
2019,177,11.5,87.64033625,0.5734613083333333
2019,178,11.5,85.5512475,0.6319590875
2019,179,11.5,84.10259125,0.62352525
2019,180,11.5,75.4035025,1.7798969583333333
2019,181,11.5,80.93823583333334,0.6188362625
2019,182,11.5,69.41836208333334,2.2206485458333334
2019,183,11.5,82.11677791666666,1.702373425
2019,184,11.5,94.681225,1.4210580041666667
2019,185,11.5,70.96017125,1.6153067
2019,186,11.5,75.61876666666667,0.9816095375
2019,187,11.5,79.64502625,0.7861486791666666
2019,188,11.5,68.48835666666666,2.5275335458333332
2019,189,11.5,77.56562124999999,1.0355865333333334
2019,190,11.5,80.67463833333333,1.82063505
2019,191,11.5,86.49489958333334,1.0596362833333333
2019,192,11.5,74.67440916666666,2.1736463583333334
2019,193,11.5,85.22311041666667,1.5784028958333334
2019,194,11.5,73.38163916666667,2.3163622041666665
2019,195,11.5,81.75724541666666,2.4001599875
2019,196,11.5,74.08939833333334,1.9406592583333333
2019,197,11.5,90.67798375,1.73370735
2019,198,11.5,79.68515791666667,2.0846373708333332
2019,199,11.5,75.863665,2.0410818416666667
2019,200,11.5,95.44083416666666,0.469284475
2019,201,11.5,98.74865750000001,0.3635163416666667
2019,202,11.5,97.61434166666668,0.5744824779166666
2019,203,11.5,90.93916666666667,0.6806682375
2019,204,11.5,90.06874416666668,0.9020193416666666
2019,205,11.5,95.2812475,0.5708508
2019,206,11.5,90.82633083333333,0.850505825
2019,207,11.5,86.85608791666667,0.8973875041666667
2019,208,11.5,74.04419125,2.4019155125
2019,209,11.5,81.44688375,1.8841742625
2019,210,11.5,83.29008708333333,1.5835807791666667
2019,211,11.5,82.07295583333334,1.4959792583333333
2019,212,11.5,92.07849208333333,0.9818989166666666
2019,213,11.5,77.58320875,0.9417349833333333
2019,214,11.5,67.34014666666667,3.615568966666667
2019,215,11.5,72.77905,1.7684718125
2019,216,11.5,62.83565125,2.5302012916666667
2019,217,11.5,58.806799166666664,2.551694225
2019,218,11.5,64.55735541666667,2.605351654166667
2019,219,11.5,68.44615833333333,1.662155275
2019,220,11.5,68.50117958333333,2.258862129166667
2019,221,11.5,77.51779625,1.360059575
2019,222,11.5,95.59818291666667,0.9808584833333334
2019,223,11.5,86.8613725,1.4091986208333334
2019,224,11.5,96.88198875,0.8602603666666667
2019,225,11.5,70.74909166666667,3.7046997916666666
2019,226,11.5,84.20386666666667,1.1972739916666666
2019,227,11.5,84.23530375,1.1744917104166666
2019,228,11.5,76.55306541666667,2.2293367458333333
2019,229,11.5,80.69218166666667,1.7279294458333334
2019,230,11.5,82.77242583333333,1.831538475
2019,231,11.5,76.34890666666666,2.260151995833333
2019,232,11.5,79.25053666666666,2.1096239125
2019,233,11.5,82.99810666666667,1.1451169208333334
2019,234,11.5,83.38757416666667,2.2728031958333332
2019,235,11.5,82.55619208333333,1.3184776666666667
2019,236,11.5,88.14840541666666,1.127834375
2019,237,11.5,64.77889083333334,3.992772733333333
2019,238,11.5,72.14536583333333,2.5937682
2019,239,11.5,84.77445041666667,1.1941684416666667
2019,240,11.5,75.55010458333334,1.2177867375
2019,241,11.5,57.06574083333334,4.206929708333333
2019,242,11.5,80.36765583333333,1.1995573833333333
2019,243,11.5,73.73276791666666,1.0243402266666666
2019,244,11.5,63.46192583333333,2.6702271333333334
2019,245,11.5,77.82944958333333,1.5850149958333333
2019,246,11.5,78.50755541666666,1.4726141916666666
2019,247,11.5,92.60958333333333,1.5174979333333334
2019,248,11.5,99.93576458333334,0.8430179916666667
2019,249,11.5,94.38438125,0.6579764254166667
2019,250,11.5,80.42049875000001,1.4030050608333333
2019,251,11.5,83.86192,1.6900554829166667
2019,252,11.5,75.61092166666667,2.5756461958333334
2019,253,11.5,77.2546725,1.2825923791666667
2019,254,11.5,77.20057916666667,1.8657464291666666
2019,255,11.5,62.899815833333335,3.3401237666666668
2019,256,11.5,63.15202958333333,3.2963644166666666
