year,day,mean.rh,wind.m.s
2019,127,88.30826791666667,1.9027977583333333
2019,128,81.1998175,1.996559275
2019,129,82.30201291666667,2.3431113333333333
2019,130,83.44377916666667,1.6155882458333333
2019,131,81.98556625,1.7556895583333334
2019,132,83.21767083333333,2.399207
2019,133,76.31547208333333,1.7131980541666667
2019,134,69.58440333333334,2.7897441916666668
2019,135,56.14224125,3.961632208333333
2019,136,66.41049541666666,2.8313320875
2019,137,72.50121458333334,1.3034366958333334
2019,138,60.808300833333334,2.811133708333333
2019,139,67.31894458333333,2.607791766666667
2019,140,77.43864541666667,1.6045472166666666
2019,141,82.628915,2.25509255
2019,142,76.13288583333333,2.0219186833333334
2019,143,86.023725,1.6922099083333333
2019,144,77.36063333333334,1.9800888166666666
2019,145,61.44299708333333,2.6017003333333335
2019,146,56.362876666666665,2.9903657916666666
2019,147,64.62887125,2.8692319166666667
2019,148,87.48112083333334,2.0680021958333334
2019,149,65.35043291666666,3.7623125
2019,150,70.66745458333334,4.703867708333333
2019,151,79.5034725,1.9715144041666668
2019,152,81.59296083333334,2.399277375
2019,153,58.976969583333336,2.38839325
2019,154,66.60060041666667,2.285190875
2019,155,70.21370291666666,2.7714175
2019,156,92.33503208333333,1.7321455375
2019,157,66.9048875,2.640098045833333
2019,158,61.06370583333333,1.6419886291666665
2019,159,62.91055291666667,2.2318079375
2019,160,69.0883525,2.729618208333333
2019,161,66.81003391304348,1.5320042695652174
2019,162,73.89588666666667,2.2621609041666666
2019,163,90.6773225,1.5360528625
2019,164,91.29800666666667,2.1704485
2019,165,97.61234125,1.5256434875
2019,166,96.47564708333333,1.1108364666666666
2019,167,83.10853541666667,1.904192575
2019,168,69.866025,2.0045822375
2019,169,73.44027208333333,2.1764635416666667
2019,170,75.24639458333333,2.6488636291666667
2019,171,79.91855041666666,1.82844975
2019,172,72.03035583333333,3.0855607166666665
2019,173,68.84924166666667,1.3395589083333332
2019,174,85.4077425,1.9447730833333332
2019,175,80.62214666666667,1.9323588583333333
2019,176,80.47172583333334,2.1048672791666667
2019,177,77.10182125,2.223096125
2019,178,75.28275625,2.5179087625
2019,179,78.94558625,1.7669132916666668
2019,180,66.49661416666666,2.65348255
2019,181,68.29096291666667,1.6940232375
2019,182,62.809374166666665,3.4186094166666665
2019,183,70.8198075,2.641985629166667
2019,184,88.44074083333334,2.667427375
2019,185,74.30518666666667,2.264864675
2019,186,70.22022208333334,2.3964347708333333
2019,187,70.75289375,1.8802419333333333
2019,188,62.33303625,2.770764916666667
2019,189,77.76731125,1.0863384583333333
2019,190,67.82078583333333,2.323071758333333
2019,191,76.6761425,1.971245575
2019,192,61.513142916666666,3.1884084041666667
2019,193,76.46381041666666,2.4099031791666667
2019,194,60.693009583333335,3.788175041666667
2019,195,74.90539416666667,4.375891458333333
2019,196,68.10566375,2.2814119958333334
2019,197,82.19400833333333,3.2422857916666667
2019,198,75.44748083333333,2.1896252333333335
2019,199,68.57986791666667,2.7107064
2019,200,90.38790166666666,1.0513932375
2019,201,96.94221666666667,0.9756159166666667
2019,202,99.95444791666667,1.12288085
2019,203,92.99054916666667,1.6201832208333333
2019,204,92.47783708333333,2.2837474583333335
2019,205,96.42163833333333,1.7088218416666667
2019,206,88.22241791666667,1.9595752
2019,207,83.11803875,2.2612050291666668
2019,208,65.6924075,2.427477195833333
2019,209,75.72735083333333,2.8843880166666667
2019,210,79.2012625,2.2040406041666665
2019,211,73.77568541666666,2.319069729166667
2019,212,80.80941708333333,1.09099135
2019,213,71.55203583333333,1.744184375
2019,214,60.98007916666666,3.281367904166667
2019,215,69.3681075,1.9635156166666667
2019,216,58.399939583333335,2.5678463625
2019,217,55.876,2.0720005625
2019,218,64.71596083333333,1.5338222666666668
2019,219,62.28920041666667,3.097952708333333
2019,220,60.11923041666667,2.884906375
2019,221,70.96292958333333,2.2601192416666667
2019,222,93.628545,0.6648112666666667
2019,223,84.51892208333334,1.4758538458333335
2019,224,95.91509833333333,1.1987351458333333
2019,225,66.05150458333333,3.511647125
2019,226,82.26313583333334,1.1007922375
2019,227,83.86075666666666,1.9593164208333333
2019,228,66.56446833333334,3.4707347541666667
2019,229,78.80594958333333,2.5774870708333335
2019,230,75.43025041666667,1.6207435166666666
2019,231,73.68506500000001,3.34523925
2019,232,72.11431333333333,3.623671208333333
2019,233,85.47384875,2.2033866875
2019,234,79.29285916666666,2.6281691208333333
2019,235,73.52056375,2.1588016125
2019,236,81.09533291666666,2.035412225
2019,237,60.86877416666667,3.4348957083333334
2019,238,68.36038291666667,2.837910791666667
2019,239,80.22360875,1.4535448499999999
2019,240,73.97878833333334,2.3947755875
2019,241,53.15411541666667,4.651943416666667
2019,242,86.54245041666667,1.6878638125
2019,243,69.11235458333333,1.6514974541666667
2019,244,55.48340208333333,3.5968095416666666
2019,245,77.65147041666667,1.2702766583333334
2019,246,81.87074791666667,1.5014747375
2019,247,97.34834166666667,2.5173111875
2019,248,98.53948625,1.4662001166666667
2019,249,85.36290791666667,1.178304575
2019,250,69.42527541666666,1.6670680166666667
2019,251,86.07521916666667,1.9048829583333333
2019,252,78.7937225,2.277334
2019,253,77.27603833333333,1.9303568291666666
2019,254,70.41270458333334,2.0615871041666667
2019,255,60.81096333333333,2.8338732
2019,256,60.389795416666665,3.5013778458333333
2019,257,94.7486675,1.3526722375
2019,258,92.09155666666666,1.5523458583333334
2019,259,66.73150541666666,3.950759125
2019,260,61.70912416666667,2.9180623541666666
2019,261,66.99758916666667,2.7996927333333335
2019,262,78.50747083333333,2.176570604166667
