year,doy,totalRain,Tmax,Tmin,Tmean,Rad,Wind,RH,vpd,station,vineyard,region
2021,1,0,25.4,10,17.629166666666666,30.15684,2.1958333333333333,72.85416666666667,0.6788213510657046,Blenheim,NA,Marlborough
2021,2,0,23.5,16.2,19.254166666666666,19.84752,2.1041666666666665,74.6875,0.6018024952809112,Blenheim,NA,Marlborough
2021,3,0,22.9,13.2,18.558333333333334,32.55876,3.4458333333333333,55.92916666666667,0.9902101862907641,Blenheim,NA,Marlborough
2021,4,0,24.4,13,18.891666666666666,31.90068,2.4458333333333333,63.85,0.8692870005391715,Blenheim,NA,Marlborough
2021,5,0,26.6,11.6,19.616666666666667,30.13956,2.370833333333333,66.92083333333333,0.9195762862730311,Blenheim,NA,Marlborough
2021,6,0,21.1,15.6,19.05,28.1682,3.1791666666666667,75.27916666666667,0.5711516688000067,Blenheim,NA,Marlborough
2021,7,0.6,24.8,16,19.770833333333332,20.29824,3.075,72.02916666666667,0.7266144115863892,Blenheim,NA,Marlborough
2021,8,0.8,21.3,13.7,17.108333333333334,18.42984,1.6791666666666667,80.85833333333333,0.4108459510067549,Blenheim,NA,Marlborough
2021,9,0,18.2,13.4,15.345833333333333,17.316,2.1875,78.56666666666666,0.3936475445628702,Blenheim,NA,Marlborough
2021,10,0,26.8,14.3,19.945833333333333,29.6082,2.1708333333333334,63.72083333333333,0.9958216518612544,Blenheim,NA,Marlborough
2021,11,0,19.4,11.7,17.025,22.64328,3.3583333333333334,63.5375,0.7279835149956911,Blenheim,NA,Marlborough
2021,12,0,23.7,11.1,18.1,32.55624,1.9416666666666667,69.44583333333334,0.721721786431142,Blenheim,NA,Marlborough
2021,13,0,29.1,12.3,21.270833333333332,33.26184,2.25,56.70833333333333,1.372776196016704,Blenheim,NA,Marlborough
2021,14,0,25.3,11.2,18.8875,33.21072,2.425,67.76666666666667,0.8243305809747451,Blenheim,NA,Marlborough
2021,15,0,21.4,11.5,17.133333333333333,31.18248,2.6708333333333334,81.1625,0.4226590718127311,Blenheim,NA,Marlborough
