year,doy,totalRain,Tmax,Tmin,Tmean,Rad,Wind,RH,vpd,ET0,ET_Rain,station,vineyard,region
2021,1,0,25.4,10,17.629166666666666,30.15684,2.1958333333333333,72.85416666666667,0.6788213510657046,8.956626167247679,8.956626167247679,Blenheim,"NA",Marlborough
2021,2,0,23.5,16.2,19.254166666666666,19.84752,2.1041666666666665,74.6875,0.6018024952809112,6.3223303482923905,6.3223303482923905,Blenheim,"NA",Marlborough
2021,3,0,22.9,13.2,18.558333333333334,32.55876,3.4458333333333333,55.92916666666667,0.9902101862907641,11.128701132331086,11.128701132331086,Blenheim,"NA",Marlborough
2021,4,0,24.4,13,18.891666666666666,31.90068,2.4458333333333333,63.85,0.8692870005391715,9.936704915195177,9.936704915195177,Blenheim,"NA",Marlborough
2021,5,0,26.6,11.6,19.616666666666667,30.13956,2.370833333333333,66.92083333333333,0.9195762862730311,9.559961593950392,9.559961593950392,Blenheim,"NA",Marlborough
2021,6,0,21.1,15.6,19.05,28.1682,3.1791666666666667,75.27916666666667,0.5711516688000067,9.00232809963428,9.00232809963428,Blenheim,"NA",Marlborough
2021,7,0.6,24.8,16,19.770833333333332,20.29824,3.075,72.02916666666667,0.7266144115863892,7.264297143689152,6.6642971436891525,Blenheim,"NA",Marlborough
2021,8,0.8,21.3,13.7,17.108333333333334,18.42984,1.6791666666666667,80.85833333333333,0.4108459510067549,5.375825486096098,4.5758254860960985,Blenheim,"NA",Marlborough
2021,9,0,18.2,13.4,15.345833333333333,17.316,2.1875,78.56666666666666,0.3936475445628702,5.176632259126007,5.176632259126007,Blenheim,"NA",Marlborough
2021,10,0,26.8,14.3,19.945833333333333,29.6082,2.1708333333333334,63.72083333333333,0.9958216518612544,9.36703508377049,9.36703508377049,Blenheim,"NA",Marlborough
2021,11,0,19.4,11.7,17.025,22.64328,3.3583333333333334,63.5375,0.7279835149956911,7.967471256337258,7.967471256337258,Blenheim,"NA",Marlborough
2021,12,0,23.7,11.1,18.1,32.55624,1.9416666666666667,69.44583333333334,0.721721786431142,9.479426608502578,9.479426608502578,Blenheim,"NA",Marlborough
2021,13,0,29.1,12.3,21.270833333333332,33.26184,2.25,56.70833333333333,1.372776196016704,10.819737882985196,10.819737882985196,Blenheim,"NA",Marlborough
2021,14,0,25.3,11.2,18.8875,33.21072,2.425,67.76666666666667,0.8243305809747451,10.19335747820003,10.19335747820003,Blenheim,"NA",Marlborough
2021,15,0,21.4,11.5,17.133333333333333,31.18248,2.6708333333333334,81.1625,0.4226590718127311,9.046906321345418,9.046906321345418,Blenheim,"NA",Marlborough
2021,16,0,27.8,12.3,20.191666666666666,32.66028,2.2333333333333334,70.9625,0.8661020450850656,10.090873454461049,10.090873454461049,Blenheim,"NA",Marlborough
2021,17,2.8,24.8,16.8,19.945833333333333,17.72604,3.225,64.16666666666667,0.8620913621616758,6.998428457513822,4.198428457513822,Blenheim,"NA",Marlborough
2021,18,0,22.9,14.8,18.845833333333335,28.27728,5.025,44.541666666666664,1.2520031645848106,12.387494275678787,12.387494275678787,Blenheim,"NA",Marlborough
2021,19,3.1999999999999997,23.5,13.5,18.375,23.06952,4.9375,59.82083333333333,0.9032902913260545,9.858468583612504,6.658468583612505,Blenheim,"NA",Marlborough
2021,20,0,18.4,10.6,14.529166666666667,32.50008,5.395833333333333,49.75833333333333,0.8617022323376575,12.367099491590217,12.367099491590217,Blenheim,"NA",Marlborough
2021,21,0,21.9,12.2,16.2125,25.28532,4.8375,52.541666666666664,0.9307887347390869,10.455992354483199,10.455992354483199,Blenheim,"NA",Marlborough
2021,22,0,22.6,7.5,15.5,30.68208,2.6083333333333334,70.40833333333333,0.6437118932704926,9.085004917846227,9.085004917846227,Blenheim,"NA",Marlborough
2021,23,0,20.1,12.1,17.304166666666667,6.5358,4.391666666666667,60.4375,0.8215259168254931,5.127051420644573,5.127051420644573,Blenheim,"NA",Marlborough
2021,24,0,29,16.4,21.433333333333334,22.01076,4.104166666666667,43.62916666666667,1.5714002664806745,10.5063666464169,10.5063666464169,Blenheim,"NA",Marlborough
2021,25,0,31.2,11.8,22.09583333333333,30.66696,3.65,46.74166666666667,1.6412357291673274,12.205996766500364,12.205996766500364,Blenheim,"NA",Marlborough
2021,26,0,27.4,13.2,20.1,30.98448,1.8708333333333333,71.09583333333333,0.8261931029725278,9.345504603929166,9.345504603929166,Blenheim,"NA",Marlborough
2021,27,0,36.3,12.9,23.725,31.35888,2.1708333333333334,58.00416666666666,1.8204870614125273,10.755006139225577,10.755006139225577,Blenheim,"NA",Marlborough
2021,28,0,28.9,13,20.070833333333333,24.05772,3.6416666666666666,52.704166666666666,1.2328289548114786,9.775978407616785,9.775978407616785,Blenheim,"NA",Marlborough
2021,29,0.4,19,10.5,14.275,24.092280000000002,1.9875,62.083333333333336,0.6715251119236407,7.024966844689199,6.624966844689198,Blenheim,"NA",Marlborough
2021,30,0,18.8,6.4,13.3,25.2414,2.345833333333333,69.45416666666667,0.5408563736438121,7.241549504519301,7.241549504519301,Blenheim,"NA",Marlborough
2021,31,0,21.8,6.7,15.258333333333333,31.2012,2.225,69.575,0.637464525841525,8.907355666622312,8.907355666622312,Blenheim,"NA",Marlborough
2021,32,0,21.9,10.3,16.3875,30.74976,2.9250000000000003,74.4,0.5488350116828038,9.217966808092378,9.217966808092378,Blenheim,"NA",Marlborough
2021,33,0,21,10.9,16.2375,29.80944,2.6791666666666667,74.96666666666667,0.544665914166528,8.822840709635383,8.822840709635383,Blenheim,"NA",Marlborough
