Site,Variety,Date,pruning,Severity,year,doy,doy.july1st,season,previous.season,sev1,sev2,sev3,sev23,first_sev1,end_sev1,first_sev23,end_sev23,tmean_sev1,tmin_sev1,tmax_sev1,rh_sev1,wetness_sev1,WD_sev1,rain_sev1,tmean_sev23,tmin_sev23,tmax_sev23,rh_sev23,wetness_sev23,WD_sev23,rain_sev23
Booker,Sauvignon blanc,2005-04-04T00:00:00Z,2-cane,0.0873845192499302,2005,94,278,2004-2005,2003-2004,9.896756598638898,1.2505553710237698,2.214880705035901,3.465436076059671,2004-11-30T00:00:00Z,2005-01-31T00:00:00Z,2005-02-19T00:00:00Z,2005-04-04T00:00:00Z,15.499215320910974,9.803571428571429,20.49968253968254,74.89077984817115,22.373265700483092,4.968253968253968,135.683,15.975961352657006,10.207666666666666,21.574,79.23085990338164,28.470144927536232,6.2444444444444445,62.143
Booker,Sauvignon blanc,2005-04-12T00:00:00Z,4-cane,0.17065651158516726,2005,102,286,2004-2005,2003-2004,9.896756598638898,1.6506328205256382,2.295739094752742,3.9463719152783803,2004-11-30T00:00:00Z,2005-01-31T00:00:00Z,2005-02-19T00:00:00Z,2005-04-12T00:00:00Z,15.499215320910974,9.803571428571429,20.49968253968254,74.89077984817115,22.373265700483092,4.968253968253968,135.683,15.524137817883512,9.72722641509434,21.31433962264151,79.55361771944217,28.653014766201807,6.30188679245283,64.508
Booker,Sauvignon blanc,2006-03-15T00:00:00Z,2-cane,0.03632824856692091,2006,74,258,2005-2006,2004-2005,5.143003587021749,0.23417421686319845,0.28051629566113884,0.5146905125243373,2005-11-25T00:00:00Z,2006-01-13T00:00:00Z,2006-02-05T00:00:00Z,2006-03-15T00:00:00Z,17.166908695652175,11.47176,22.3038,71.98948695652174,15.124305217391305,2.96,45.6,16.208209587513934,9.402923076923077,22.415641025641026,71.69405797101449,16.056945373467112,3.1025641025641026,33.6
Booker,Sauvignon blanc,2008-03-20T00:00:00Z,2-cane,0.05627209528245181,2008,80,264,2007-2008,2006-2007,6.724527105315914,0.7501780916407644,0.5226337356055322,1.2728118272462965,2007-12-04T00:00:00Z,2008-01-21T00:00:00Z,2008-02-10T00:00:00Z,2008-03-20T00:00:00Z,17.77609228039042,11.710571428571429,23.059183673469388,77.55707187222716,18.19860780834073,3.857142857142857,72.8,17.140039130434783,11.39165,22.74625,79.92177173913043,18.08760652173913,3.775,51.199999999999996
Booker,Sauvignon blanc,2008-04-04T00:00:00Z,4-cane,0.07744099075140759,2008,95,279,2007-2008,2006-2007,6.724527105315914,1.5711693966730222,1.2452440567142862,2.8164134533873084,2007-12-04T00:00:00Z,2008-01-21T00:00:00Z,2008-02-10T00:00:00Z,2008-04-04T00:00:00Z,17.77609228039042,11.710571428571429,23.059183673469388,77.55707187222716,18.19860780834073,3.857142857142857,72.8,16.850555731225295,11.125854545454546,22.444545454545455,81.3508932806324,21.16307351778656,4.6909090909090905,77.6
Booker,Sauvignon blanc,2009-04-02T00:00:00Z,2-cane,0.14474393898311264,2009,92,276,2008-2009,2007-2008,9.672725416501338,1.4196692976794871,3.55906361319427,4.978732910873758,2008-12-03T00:00:00Z,2009-01-21T00:00:00Z,2009-02-12T00:00:00Z,2009-04-02T00:00:00Z,16.94652608695652,10.39672,22.398,80.30488695652174,25.557664347826087,5.68,111.8,15.056935652173912,9.03756,20.812,83.60333913043478,27.740348695652173,6.12,124.8
Booker,Sauvignon blanc,2009-04-08T00:00:00Z,4-cane,0.13968517032835606,2009,98,282,2008-2009,2007-2008,9.672725416501338,1.6844805193732066,3.6332498568262586,5.317730376199465,2008-12-03T00:00:00Z,2009-01-21T00:00:00Z,2009-02-12T00:00:00Z,2009-04-08T00:00:00Z,16.94652608695652,10.39672,22.398,80.30488695652174,25.557664347826087,5.68,111.8,14.987774068322981,8.950678571428572,20.68875,83.0564751552795,26.971875776397514,5.910714285714286,131
Booker,Sauvignon blanc,2010-04-08T00:00:00Z,2-cane,0.04886574914744037,2010,98,282,2009-2010,2008-2009,3.6265105369932424,0.8481001754325977,0.01251001787349604,0.8606101933060938,2009-12-06T00:00:00Z,2010-01-24T00:00:00Z,2010-02-15T00:00:00Z,2010-04-08T00:00:00Z,17.53750695652174,11.29968,23.2666,64.43139130434783,15.759264347826088,3.26,57.2,16.114694011484822,9.392471698113207,22.401132075471697,66.58785069729286,18.505936013125513,3.641509433962264,55.4
Booker,Sauvignon blanc,2010-04-08T00:00:00Z,4-cane,0.03074172142817073,2010,98,282,2009-2010,2008-2009,3.6265105369932424,0.8481001754325977,0.01251001787349604,0.8606101933060938,2009-12-06T00:00:00Z,2010-01-24T00:00:00Z,2010-02-15T00:00:00Z,2010-04-08T00:00:00Z,17.53750695652174,11.29968,23.2666,64.43139130434783,15.759264347826088,3.26,57.2,16.114694011484822,9.392471698113207,22.401132075471697,66.58785069729286,18.505936013125513,3.641509433962264,55.4
Booker,Sauvignon blanc,2011-03-30T00:00:00Z,2-cane,0.03238438478379128,2011,89,273,2010-2011,2009-2010,5.744278048951281,1.5616270273919,0.07824977283249457,1.6398768002243944,2010-11-29T00:00:00Z,2011-01-13T00:00:00Z,2011-02-07T00:00:00Z,2011-03-30T00:00:00Z,17.554152173913042,12.055934782608695,22.485652173913042,67.99918714555766,21.120246691871454,4.304347826086956,150.4,16.24199414715719,9.74051923076923,22.392692307692307,70.32861204013378,25.395183946488295,5.4423076923076925,46.4
